=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMWF ERA5 (0.5x0.5 deg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m Temperature (deg C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values averaged across Specify Point (70.56N; 68.95W),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-31.288,-26.665,-25.786,-18.068,-6.995,-0.104,0.431,0.17,-4.22,-13.495,-25.231,-30.447,-15.142,-999,-16.95,0.166,-14.315,-999,-999,-999,-999,-2.144,-999,-6.04,-27.913,-23.506,-8.389,-2.223,-1.206,-5.848,-23.057,-999
1941,-30.022,-27.752,-28.823,-24.685,-12.353,-0.756,1.232,0.727,-6.394,-10.917,-23.961,-29.103,-16.067,-29.407,-21.954,0.401,-13.757,-16.179,-16.285,-16.5,-28.455,-3.509,-25.779,-7.592,-28.866,-27.087,-12.598,-3.959,-1.478,-5.528,-21.327,-28.566
1942,-31.182,-32.248,-25.569,-20.465,-7.161,-0.483,0.647,-0.916,-5.638,-13.209,-25.027,-28.818,-15.839,-30.844,-17.732,-0.251,-14.625,-15.863,-15.774,-15.583,-28.413,-2.71,-24.778,-6.747,-29.666,-26.094,-9.37,-2.332,-1.969,-6.588,-22.351,-28.082
1943,-30.291,-35.823,-31.961,-21.522,-9.096,-0.67,1.296,0.518,-4.24,-12.725,-22.336,-29.272,-16.343,-31.644,-20.86,0.381,-13.1,-16.306,-16.53,-16.57,-30.384,-2.438,-26.664,-6.634,-32.692,-29.769,-10.429,-2.823,-0.809,-5.482,-21.444,-28.045
1944,-29.847,-31.436,-30.811,-15.525,-10.102,-0.946,0.855,-0.389,-3.907,-10.622,-22.783,-28.815,-15.361,-30.185,-18.813,-0.16,-12.437,-15.399,-15.361,-15.537,-28.74,-2.898,-24.565,-5.805,-30.698,-25.924,-8.858,-3.398,-1.147,-4.973,-20.74,-27.152
1945,-26.351,-31.329,-23.21,-20.737,-8.833,-0.294,0.408,0.383,-4.459,-14.033,-25.045,-28.823,-15.194,-28.832,-17.594,0.166,-14.512,-15.193,-15.004,-14.72,-26.498,-2.559,-23.407,-6.795,-26.964,-25.092,-9.955,-2.906,-1.222,-6.036,-22.634,-25.983
1946,-32.405,-31.928,-24.193,-22.838,-5.172,-0.587,0.807,-0.046,-5.206,-15.036,-22.595,-27.624,-15.568,-31.052,-17.401,0.058,-14.279,-15.668,-15.873,-15.789,-28.479,-2.041,-25.609,-6.868,-29.508,-26.32,-9.532,-1.651,-1.482,-6.763,-21.752,-28.758
1947,-29.421,-22.607,-23.822,-19.776,-8.3,-0.997,1.095,-0.748,-4.722,-13.279,-18.002,-26.362,-13.912,-26.551,-17.299,-0.217,-12.001,-14.017,-14.4,-14.546,-25.214,-2.734,-22.983,-6.675,-25.283,-22.068,-9.691,-2.734,-1.458,-6.25,-19.214,-26.547
1948,-30.668,-34.695,-34.174,-21.583,-7.874,0.315,2.825,1.281,-2.552,-9.671,-21.923,-33.916,-16.053,-30.575,-21.21,1.474,-11.382,-15.423,-15.097,-15.397,-28.78,-1.201,-25.538,-5.323,-33.179,-30.151,-9.714,-1.578,0.518,-3.647,-21.836,-25.011
1949,-35.157,-38.06,-30.198,-21.89,-10.822,0.652,1.873,0.174,-5.146,-13.29,-22.736,-27.305,-16.825,-35.711,-20.97,0.9,-13.724,-17.376,-17.309,-17.007,-31.851,-2.654,-27.259,-6.921,-34.472,-30.049,-10.687,-2.766,-1.033,-6.087,-21.11,-30.332
1950,-38.435,-32.332,-27.123,-23.59,-8.211,-0.053,2.138,0.095,-6.761,-16.322,-23.604,-25.016,-16.601,-32.69,-19.641,0.727,-15.562,-16.792,-16.719,-16.467,-29.586,-2.558,-26.401,-7.529,-32.63,-27.681,-10.618,-2.042,-1.509,-7.663,-21.647,-29.492
1951,-30.96,-37.181,-26.2,-19.407,-8.687,-0.076,1.236,-0.778,-3.368,-14.442,-22.224,-31.408,-16.125,-31.053,-18.098,0.127,-13.345,-15.592,-15.707,-15.864,-28.592,-2.335,-25.527,-6.503,-31.447,-27.596,-9.39,-2.509,-0.97,-6.196,-22.691,-26.527
1952,-33.689,-32.217,-27.528,-18.783,-5.361,0.155,1.42,0.296,-6.122,-15.572,-20.279,-26.901,-15.382,-32.438,-17.224,0.624,-13.991,-15.757,-15.919,-15.825,-29.413,-1.923,-25.756,-6.281,-31.145,-26.176,-7.997,-1.262,-1.469,-7.133,-20.917,-29.107
1953,-30.755,-31.877,-30.364,-13.559,-5.393,-1.393,1.252,1.056,-5.315,-11.896,-28.417,-34.89,-15.963,-29.845,-16.439,0.305,-15.209,-15.297,-14.619,-14.925,-28.035,-1.959,-24.187,-5.036,-30.999,-25.267,-6.782,-1.845,-1.003,-5.385,-25.068,-25.979
1954,-32.168,-33.259,-27.043,-18.469,-6.145,-1.888,1.749,0.785,-5.207,-16.148,-26.292,-31.949,-16.336,-33.439,-17.219,0.215,-15.882,-16.581,-16.758,-16.404,-31.156,-2.141,-26.592,-6.475,-30.824,-26.257,-8.834,-2.095,-0.891,-6.857,-24.796,-31.825
1955,-30.788,-32.749,-29.413,-20.964,-8.103,-0.144,1.665,0.707,-6.345,-6.43,-23.124,-24.764,-15.038,-31.829,-19.493,0.743,-11.966,-15.636,-15.9,-16.71,-30.238,-2.444,-26.9,-5.659,-30.983,-27.709,-9.737,-2.194,-1.324,-4.022,-18.106,-29.676
1956,-28.645,-28.988,-31.502,-17.174,-10.851,-1.629,1.618,1.163,-2.544,-12.503,-23.158,-29.906,-15.343,-27.466,-19.842,0.384,-12.735,-14.915,-14.912,-14.406,-27.405,-2.449,-22.947,-5.989,-29.712,-25.888,-9.885,-3.621,0.079,-4.628,-21.856,-25.511
